WITHIN,NUM
3000,45
6000,37
9000,26
12000,22
15000,15
18000,13
21000,11
24000,11
27000,8
30000,11
33000,6
36000,3
39000,4
42000,3
45000,6
48000,2
51000,4
54000,0
57000,3
60000,0
63000,0
66000,1
69000,0
72000,1
75000,1
78000,0
81000,0
84000,1
87000,1
90000,0
93000,0
96000,0
99000,0
MORE,0
