WITHIN,NUM
3000,1
6000,2
9000,0
12000,0
15000,0
18000,0
21000,1
24000,1
27000,1
30000,0
33000,0
36000,0
39000,0
42000,0
45000,0
48000,0
51000,1
54000,0
57000,1
60000,1
63000,0
66000,0
69000,0
72000,1
75000,1
78000,0
81000,0
84000,0
87000,0
90000,1
93000,0
96000,0
99000,0
102000,0
105000,0
108000,0
111000,0
114000,0
117000,0
120000,1
123000,0
126000,0
129000,1
132000,0
135000,0
138000,0
141000,0
144000,0
147000,0
150000,0
153000,0
156000,1
159000,0
162000,0
165000,2
168000,0
171000,3
174000,0
177000,1
180000,0
183000,0
186000,0
189000,0
192000,0
195000,1
198000,0
201000,0
204000,1
207000,0
210000,0
213000,1
216000,0
219000,0
222000,2
225000,0
228000,0
231000,1
234000,0
237000,0
240000,0
243000,0
246000,0
249000,0
252000,0
255000,0
258000,0
261000,0
264000,0
267000,0
270000,1
273000,0
276000,1
279000,0
282000,0
285000,0
288000,0
291000,0
294000,0
297000,0
300000,0
303000,0
306000,0
309000,0
312000,0
315000,0
318000,0
321000,0
324000,0
327000,0
330000,0
333000,0
336000,0
339000,0
342000,0
345000,0
348000,0
351000,0
354000,0
357000,0
360000,0
363000,0
366000,0
369000,0
372000,0
375000,0
378000,0
381000,0
384000,0
387000,0
390000,0
393000,0
396000,0
399000,0
402000,0
405000,0
408000,0
411000,0
414000,0
417000,0
420000,0
423000,0
426000,0
429000,0
432000,0
435000,0
438000,0
441000,0
444000,0
447000,0
450000,0
453000,0
456000,0
459000,0
462000,0
465000,0
468000,0
471000,0
474000,0
477000,0
480000,0
483000,0
486000,0
489000,0
492000,0
495000,0
498000,0
MORE,0
