WITHIN,NUM
180,4
360,82
540,24
720,21
900,4
1080,5
1260,7
1440,4
1620,3
1800,4
1980,5
2160,1
2340,1
2520,3
2700,1
2880,2
3060,4
3240,2
3420,2
3600,2
3780,1
3960,1
4140,1
4320,1
4500,0
4680,2
4860,2
5040,1
5220,1
5400,1
5580,3
5760,1
5940,0
6120,1
6300,2
6480,2
6660,0
6840,0
7020,0
7200,0
7380,1
7560,0
7740,0
7920,0
8100,0
8280,0
8460,0
8640,0
8820,2
9000,0
9180,0
9360,0
9540,2
9720,0
9900,0
10080,1
10260,1
10440,0
10620,0
10800,0
10980,0
11160,0
11340,0
11520,1
11700,0
11880,7
12060,1
12240,0
12420,0
12600,0
12780,0
12960,0
13140,0
13320,0
13500,1
13680,1
13860,2
14040,0
14220,0
14400,2
14580,0
14760,0
14940,0
15120,0
15300,0
15480,0
15660,1
15840,0
16020,0
16200,0
16380,1
16560,0
16740,0
16920,0
17100,0
17280,0
17460,0
17640,0
17820,0
18000,0
18180,0
18360,1
18540,0
18720,0
18900,0
19080,0
19260,0
19440,1
19620,1
19800,0
19980,1
20160,1
20340,0
20520,0
20700,0
20880,0
21060,0
21240,0
21420,1
21600,0
21780,0
21960,0
22140,0
22320,0
22500,0
22680,0
22860,0
23040,0
23220,0
23400,0
23580,0
23760,1
23940,0
24120,0
24300,0
24480,0
24660,0
24840,0
25020,0
25200,0
25380,1
25560,0
25740,0
25920,3
26100,1
26280,1
26460,1
26640,2
26820,0
27000,0
27180,0
27360,0
27540,0
27720,0
27900,1
28080,1
28260,0
28440,0
28620,0
28800,0
28980,0
29160,2
29340,0
29520,1
29700,0
29880,1
30060,0
30240,0
30420,0
30600,0
30780,1
30960,0
31140,0
31320,1
31500,0
31680,0
31860,0
32040,0
32220,0
32400,0
32580,0
32760,0
32940,0
33120,0
33300,0
33480,0
33660,0
33840,0
34020,1
34200,1
34380,0
34560,0
34740,0
34920,0
35100,0
35280,0
35460,0
35640,1
35820,1
36000,0
MORE,11
